#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,Name,Type,_field,_measurement
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:39Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:40Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:41Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:42Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:43Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:44Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:45Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:46Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:47Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:48Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:49Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:50Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:51Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:52Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:53Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:54Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:55Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:56Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:57Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:58Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:59Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:54:00Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:54:01Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:54:02Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:54:03Z,100,BOC01T001,Analog,Quality,Tags
